ageGroup,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
60,3,470,98936.75616438419,0.0047505094994128505,2.1912466336230157e-4,0.004339867496742444,0.00520000680227013
60,4,300,73347.76431619246,0.004090104215129719,2.3614227696187664e-4,0.0036524924495525673,0.004580147042513724
60,5,231,59353.599872746345,0.0038919290572983307,2.5607013199126124e-4,0.0034210461773914883,0.004427625644794008
60,6,91,20858.28930309273,0.00436277389184103,4.5734297168632224e-4,0.0035524739240394006,0.005357898872256053
60,7,39,10898.101848942091,0.0035786048378494313,5.730353858827826e-4,0.0026146280044883653,0.004897986468245346
70,0,2155,96215.14070665675,0.022397722272944762,4.824810026030434e-4,0.02147174507908055,0.023363632586376037
70,1,131,9672.031499363758,0.01354420733727112,0.0011833628894831973,0.011412542364525715,0.01607403035498939
70,2,1501,100895.94994385773,0.0148767121062363,3.839870805238361e-4,0.01414281784672508,0.015648689355288965
70,3,1247,83885.16420390751,0.014865560696392041,4.2096701486070664e-4,0.014062945489778345,0.0157139836017098
70,4,1027,70083.6230855613,0.01465392276803657,4.572657534956473e-4,0.01378453884291989,0.01557813829962659
70,5,926,76435.22600494133,0.012114833021362906,3.981181151664109e-4,0.011359120334392757,0.012920822635457286
70,6,453,41130.21664795386,0.01101380048341019,5.174734875813397e-4,0.010044851780977911,0.012076216128751786
70,7,269,33196.067228089814,0.008103369539280179,4.940711607240739e-4,0.007190614676521235,0.009131986741626085
80,0,3457,60863.96466054036,0.056798797437546164,9.660274139597003e-4,0.05493659483620861,0.058724123691501186
80,1,337,7291.694535519836,0.046216966215244064,0.0025175985720824056,0.041536765947124715,0.0514245131375923
80,2,3211,75133.22291339148,0.04273741862107292,7.542027889759121e-4,0.04128445418349057,0.044241518666443526
80,3,2599,57119.691211917,0.04550094625612691,8.925186271925679e-4,0.04378481053897633,0.04728434552343167
80,4,2406,48323.43116999835,0.04978951083866262,0.0010150561060361177,0.04783922551730304,0.05181930440443001
80,5,2195,51623.02520398288,0.04251978630323759,9.075567910900972e-4,0.04077766971003842,0.044336330156402357
80,6,1041,29445.140474587235,0.03535388125923325,0.0010957506430526087,0.033270142068918394,0.037568126926023605
80,7,704,23690.00558425313,0.02971717323983885,0.0011200081075742683,0.02760107780437715,0.031995503640316
90,0,3901,22259.67280485509,0.17524965592257705,0.0028058806805500735,0.16983552477148423,0.18083638238999536
90,1,399,2716.5708286552544,0.14687634711792563,0.00735301437560018,0.13314893670776912,0.16201902828598885
90,2,3684,26028.228452728345,0.14153863781742831,0.0023319283420386518,0.1370410670886505,0.14618381497463004
90,3,2819,18814.88519350248,0.14982817971026002,0.0028219282373388426,0.1443980450292383,0.15546251634324076
90,4,2598,15282.846216034308,0.16999451301644689,0.0033351496854049224,0.16358170740581782,0.1766587163930724
90,5,2219,14315.231858672176,0.1550097142615073,0.0032906391819786354,0.14869239844615284,0.16159542630644697
90,6,1325,8051.453282431512,0.16456656376448034,0.004520991201157383,0.1559397617792795,0.17367061229438988
90,7,666,5433.148626394837,0.12258085427011849,0.004749911621367163,0.11361577826306313,0.13225333719759458
