ageGroup,interval,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
65,2023,5,510,41209.96506849308,0.012375647471487873,5.480028809473151e-4,0.011346852233776315,0.013497721410581233
65,2023,6,0,0.17054794520549876,0,0,0,0
65,2023,7,0,0,0,0,0,0
65,2023.25,0,215,5659.888356164382,0.03798661501261522,0.002590665641424769,0.03323365178764317,0.04341933078365976
65,2023.25,1,2,3.602054794519745,0.5552386385245581,0.39261300647750125,0.1388603441239148,2.2201438982139945
65,2023.25,2,0,12.536986301369097,0,0,0,0
65,2023.25,3,4,55.271917808219996,0.0723694808976779,0.03618474044883895,0.02716106939901286,0.19282531510300957
65,2023.25,4,10,334.68082191783014,0.02987921429945326,0.009448637188254463,0.01607646889134884,0.055532558373752906
65,2023.25,5,99,3893.3979452057924,0.025427660206659708,0.0025555760061254876,0.0208812192442676,0.030963991902093736
65,2023.25,6,59,12470.047260274296,0.004731337321226978,6.159676533334686e-4,0.0036657671407415533,0.006106648891698791
65,2023.25,7,0,0,0,0,0,0
65,2023.5,0,226,5568.145890410961,0.04058801698949736,0.00269987472926349,0.035626709178360645,0.04624022709738048
65,2023.5,1,0,2.2157534246580326,0,0,0,0
65,2023.5,2,0,7.694520547944194,0,0,0,0
65,2023.5,3,1,37.55410958904258,0.02662824417735035,0.02662824417735035,0.0037508124267215804,0.1890426145858628
65,2023.5,4,19,181.9952054794544,0.10439835461569304,0.023950625139038364,0.06659031033871878,0.16367270840194284
65,2023.5,5,64,1991.0856164383956,0.032143268713116215,0.004017908589139527,0.025158682295683917,0.041066925183949096
65,2023.5,6,320,29640.978082192218,0.010795865072760551,6.035072044652077e-4,0.0096754898322289,0.012045974383748789
65,2023.5,7,0,386.25410958886687,0,0,0,0
65,2023.75,0,225,5480.397945205479,0.041055412809363784,0.0027370275206242524,0.03602654469831606,0.04678624983500171
65,2023.75,1,2,4.289726027396455,0.4662302410986026,0.3296745650750609,0.11660011971062463,1.864240261968224
65,2023.75,2,1,5.217808219178323,0.19165135206089953,0.1916513520608995,0.026995706818681575,1.3605956307598066
65,2023.75,3,2,18.90068493150443,0.10581627106361202,0.07482340282895392,0.026463727115332434,0.42311059107469784
65,2023.75,4,8,94.25958904109166,0.08487200168581754,0.030006783962458837,0.042443747605206895,0.1697130219781473
65,2023.75,5,24,713.074657534246,0.03365706486188984,0.00687021959594894,0.022559125457993788,0.05021462455301228
65,2023.75,6,84,4808.475342465754,0.01746915477722412,0.0019060410498459273,0.014105759782147217,0.021634521879271496
65,2023.75,7,275,27318.871917808614,0.010066301450051204,6.070208170260061e-4,0.008944160919848525,0.011329226496633642
65,2024,0,275,5306.505464481914,0.05182318228835535,0.003125055474412113,0.046046195225291645,0.05832495408908339
65,2024,1,2,2.336065573770611,0.8561403508771492,0.6053826477526624,0.21411323977214866,3.4233114270750113
65,2024,2,2,6.778688524590962,0.2950423216444635,0.2086264263718226,0.07378751310164246,1.179738520817791
65,2024,3,0,15.024590163934363,0,0,0,0
65,2024,4,7,59.46448087431645,0.11771733137291036,0.044492969116414635,0.05611908140733523,0.24692795673145698
65,2024,5,19,380.26775956283404,0.04996479328629623,0.011462709719466568,0.03186995717693296,0.07833335182355476
65,2024,6,61,1864.6092896174296,0.032714628388725686,0.004188678947056581,0.02545392727726927,0.04204643546570365
65,2024,7,194,10116.387978141347,0.01917680504337903,0.0013768143637115763,0.016659517570753967,0.02207445984614572
