ageGroup,interval,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
50,2023,3,57,19906.094520547966,0.0028634446571707997,3.7927251010877455e-4,0.002208728440586624,0.00371223331669615
50,2023,4,46,23402.732876712347,0.001965582406222899,2.8980931495715387e-4,0.0014722654799591655,0.002624196687516004
50,2023,5,16,10262.08424657529,0.001559137463263332,3.89784365815833e-4,9.551687621568527e-4,0.002545005370424822
50,2023,6,0,0,0,0,0,0
50,2023,7,0,0,0,0,0,0
50,2023.25,0,47,8363.963698630138,0.005619345288131479,8.19665752677032e-4,0.004222045714305291,0.0074790856385697005
50,2023.25,1,1,219.78698630136978,0.004549859920408616,0.004549859920408616,6.40886083800709e-4,0.03230094367562829
50,2023.25,2,28,7253.1719178082185,0.0038603800264617343,7.29543251158478e-4,0.0026654168117151754,0.005591070741057953
50,2023.25,3,42,19110.67945205479,0.002197724058182774,3.391161844698854e-4,0.0016241550964939658,0.0029738484005263897
50,2023.25,4,50,23187.578082191765,0.0021563269705342954,3.04950684664049e-4,0.0016343095791475576,0.0028450827573799574
50,2023.25,5,24,10436.103424657496,0.0022997089069944376,4.694261149224991e-4,0.001541412537386669,0.0034310484238541457
50,2023.25,6,0,970.7369863013716,0,0,0,0
50,2023.25,7,0,0,0,0,0,0
50,2023.5,0,44,8344.522602739726,0.005272919985327099,7.949225973134677e-4,0.003923967143042214,0.007085606009969291
50,2023.5,1,1,218.50958904109507,0.004576458197502399,0.004576458197502399,6.446326751113598e-4,0.03248977354408672
50,2023.5,2,27,7236.554794520547,0.003731057218062406,7.180422964034089e-4,0.002558674763900369,0.005440624248482111
50,2023.5,3,51,19034.145205479454,0.0026793953418679595,3.751903934455124e-4,0.0020363037026427415,0.0035255838255887468
50,2023.5,4,43,22520.7198630137,0.0019093528209380153,2.9117357545357307e-4,0.0014160441151923851,0.002574515974263032
50,2023.5,5,39,8868.202054794492,0.004397734710940094,7.042011401873857e-4,0.0032131070214627337,0.006019118086830163
50,2023.5,6,15,3248.7787671233073,0.004617119562524731,0.001192135144873784,0.0027834779736774992,0.007658689329049635
50,2023.5,7,0,26.32602739724689,0,0,0,0
50,2023.75,0,45,8304.144520547945,0.005418980834046311,8.078139675797371e-4,0.004045997863574319,0.00725787661534237
50,2023.75,1,0,218.48630136986208,0,0,0,0
50,2023.75,2,25,7215.563013698628,0.0034647330987946346,6.929466197589269e-4,0.002341134408631082,0.005127589172849892
50,2023.75,3,46,18882.84794520548,0.0024360732095859406,3.591793993578898e-4,0.0018246736854033443,0.003252336420443603
50,2023.75,4,39,19014.306164383488,0.0020510872004918367,3.284368067080024e-4,0.0014985812284533779,0.002807294408967918
50,2023.75,5,26,9530.399315068506,0.002728112342458875,5.350268488258126e-4,0.001857482907188903,0.004006818541517564
50,2023.75,6,21,4428.067808219275,0.004742474801542175,0.00103489284568989,0.0030921048635484272,0.007273707793160763
50,2023.75,7,5,1764.906849315097,0.002833010706451923,0.0012669609041222403,0.0011791588589022477,0.006806504146814516
50,2024,0,51,8137.344262296683,0.0062674010532283615,8.776116873451847e-4,0.004763138821365036,0.008246729191644864
50,2024,1,1,213.62841530058836,0.004681025221260657,0.004681025221260657,6.593618209583616e-4,0.033232129045976604
50,2024,2,33,7080.500000001396,0.004660687804532659,8.11321608154353e-4,0.0033133866688595907,0.006555833345824318
50,2024,3,54,18475.42076503096,0.002922802175212571,3.977429971315308e-4,0.0022385326600014924,0.0038162376221134225
50,2024,4,37,16842.915300549743,0.0021967693442472127,3.6114665553769554e-4,0.001591641360673391,0.0030319616410210866
50,2024,5,31,10114.674863389924,0.003064853830566965,5.504639979068977e-4,0.002155393889953904,0.004358056801832115
50,2024,6,16,4802.423497268688,0.003331651198420918,8.329127996052295e-4,0.0020410574603687954,0.005438308290416243
50,2024,7,6,2599.9890710387576,0.00230770200799454,9.42115399663795e-4,0.0010367445655807463,0.0051367412326091
65,2021,0,1233,59425.762328802855,0.020748576908072438,5.908901856045615e-4,0.019622161729166154,0.021939654236480047
65,2021,1,0,28.702054794529204,0,0,0,0
65,2021,2,0,1.5773972602739832,0,0,0,0
65,2021,3,0,0,0,0,0,0
65,2021,4,0,0,0,0,0,0
